timestamp,title,price,original_price,shipping_details,item_url
2025-03-21 12:08:28,Apple iPhone 13 128GB Unlocked - Excellent,US $291.95,N/A,N/A,https://www.ebay.com/itm/404240045218?_trkparms=5373%3A0%7C5374%3AFeatured%7C5079%3A6000015152
2025-03-21 12:08:28,Apple iPhone 13 128GB Unlocked - Excellent,US $301.99,N/A,N/A,https://www.ebay.com/itm/256350256024?_trkparms=5373%3A0%7C5374%3AFeatured%7C5079%3A6000015152
2025-03-21 12:08:28,Compex Elettrostimolatore professionale muscolare Compex Fitness massaggiatore,US $252.98,US $366.82,N/A,https://www.ebay.com/itm/186745213197?_trkparms=5373%3A0%7C5374%3AFeatured%7C5079%3A6000012162
2025-03-21 12:08:28,Genuine Fender CHROME LOCKING Tuners 6-InLine 2-pin Strat/Tele F Logo Machines,US $59.35,US $89.99,N/A,https://www.ebay.com/itm/401283151877?_trkparms=5373%3A0%7C5374%3AFeatured%7C5079%3A6000012162
2025-03-21 12:08:28,Optics/Red Dot/MOS/RMR Optic Cut IWB Houston Eco Leather Holster - Choose Model,US $24.95,N/A,N/A,https://www.ebay.com/itm/114719306265?_trkparms=5373%3A0%7C5374%3AFeatured%7C5079%3A6000012162
2025-03-21 12:08:28,Hollyland Lark M1 Wireless Lavalier Vlogging Microphone Noise Cancellation,US $47.99,N/A,N/A,https://www.ebay.com/itm/185934562319?_trkparms=5373%3A0%7C5374%3AFeatured%7C5079%3A6000012162
2025-03-21 12:08:28,2024 Autel MaxiIM IM508S IMMO Key Programming Tool All System Diagnostic Scanner,US $949.00,N/A,N/A,https://www.ebay.com/itm/394001054513?_trkparms=5373%3A0%7C5374%3AFeatured%7C5079%3A6000015385
2025-03-21 12:08:28,2025 Autel MaxiIM KM100 Key FOB PROGRAMMING Tool 60s Key Generation IMMObilizer,US $470.00,N/A,N/A,https://www.ebay.com/itm/395966587264?_trkparms=5373%3A0%7C5374%3AFeatured%7C5079%3A6000015385
2025-03-21 12:08:28,2025 Autel MaxiCOM MK808S Bidirectional Car Diagnostic Scanner Tool Key Coding,US $419.00,US $467.00,N/A,https://www.ebay.com/itm/394171367332?_trkparms=5373%3A0%7C5374%3AFeatured%7C5079%3A6000015385
2025-03-21 12:08:28,2024 OTOFIX IM1 Key FOB Programming Tool Auto Full System Diagnostic Scanner,US $799.00,N/A,N/A,https://www.ebay.com/itm/375660364889?_trkparms=5373%3A0%7C5374%3AFeatured%7C5079%3A6000015385
2025-03-21 12:08:28,Nintendo Switch OLED 64GB NEON Red Blue Joy Con Newest Version +FAST FREE SHIP!⭐,US $269.99,US $359.99,N/A,https://www.ebay.com/itm/195122716310?_trkparms=5373%3A0%7C5374%3AFeatured%7C5079%3A6000007364
2025-03-21 12:08:28,🔥 Nintendo Switch OLED 64GB WHITE Joy Cons Newest Game Console + 2 Day SHIP! 🔥,US $269.99,US $369.99,N/A,https://www.ebay.com/itm/194991515485?_trkparms=5373%3A0%7C5374%3AFeatured%7C5079%3A6000007364
2025-03-21 12:08:28,Nintendo Switch Console with Neon Blue and Neon Red Joy Cons 32GB V2,US $243.33,US $299.99,N/A,https://www.ebay.com/itm/195302472644?_trkparms=5373%3A0%7C5374%3AFeatured%7C5079%3A6000007364
